Zeitstempel,Die Frage,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Min,Max,Welche Antwort ist richtig?
13.06.2013 20:34:49,Wer war der Erfinder der Atombombe?,Julius Robert Oppenheimer,Albert Einstein,Thomas Alva Edison,Nikola Tesla,500,8000,1
13.06.2013 20:36:12,Was war bereits seit Mai 1969 ein beliebtes Zahlungsmittel im europäischen Raum?,Euronoten,Eurocheques,Euroscheine,Euromünzen,500,2000,2
13.06.2013 20:37:23,Malu Dreyer profitierte Anfang des Jahres von...?,...Oettingers Sattelstange,...Veltins Fahrradkette,...Diebels Vorderreifen,...Becks Rücktritt,1000,8000,4
13.06.2013 20:38:32,Woraus besteht in der Regel eine Entourage?,Baguette & Rotwein,Mascara & Lidschatten,Freunde & Bekannte,Sofa & Sessel,2000,16000,3
13.06.2013 20:40:04,"Was haben die Hollywood-Stars Gosling, Reynolds und Phillippe gemeinsam?",Vorname Ryan,Ex-Frau Megan Fox,Geburtsjahr 1978,irische Staatsbürgerschaft,4000,32000,1
13.06.2013 20:43:48,Wer sollte sich mit der Zwanzig nach vier-Stellung auskennen?,Fahrlehrer,Karatemeister,Kellner,Landschaftsarchitekt,64000,250000,3
13.06.2013 20:56:11,In welchem Ordner auf dem Tauschlaufwerk liegen wichtige Daten?,Englisch,Lernfeld 4,Lernfeld 6,Lernfeld 2,50,200,1
14.06.2013 11:30:29,Welches Bauwerk gehört nicht zu den sieben Weltwundern?,Die große Mauer in China,Die hängenden Gärten von Babylon,Der Tempel der Artemis in Ephesos,Das Mausoleum von Halikarnassos,1000,75000,1
14.06.2013 11:33:13,Welche dieser Farben ist im Wappen des Bundeslandes Niedersachsen,Blau,Weiß ,Grün,Orange,0,2000,2
14.06.2013 11:35:19,Dürfen Zwerge mit dem Riesenrad fahren?,Ja,Nein,weiß nicht,Das ist eine Pfandfrage,0,500,4
17.06.2013 18:57:31,"In ""The Big Bang Theory"" heißt eine der Hauptpersonen: Dr. Leonard ...",Hofstedter,Hofstater,Hofstadter,Hofsteter,1000,125000,3
17.06.2013 21:59:40,"Ein Stück von der Augsburger Puppenkiste heißt ""kleiner König Kalle ...""",Wirsch,Knirsch,Mirsch,Flirsch,500,8000,1
17.06.2013 22:01:59,"Ein stück von der Augsburger Puppenkiste heißt ""Jim Knopf und die wilde",11,12,13,14,0,5000,3
